source,target,value,index
0,1,1.31,0
1,2,6.21,1
2,3,8.09,2
3,4,9.19,3
4,5,14.82,4
5,6,21.14,5
6,7,25.2,6
7,8,31.49,7
8,9,35.64,8
9,10,39.75,9
10,11,43.42,10
11,12,46.0,11
12,13,49.48,12
13,14,52.11,13
14,15,55.38,14
15,16,58.03,15
16,17,60.51,16
17,18,62.59,17
18,19,64.49,18
19,20,66.05,19
20,21,67.22,20
21,22,68.22,21
22,23,68.91,22
